zip code,location,latitude,longitude
10463,POINT (-73.90395 40.87626),40.87626, -73.90395
11436,POINT (-73.80229 40.664993),40.664993, -73.80229
11420,POINT (-73.806274 40.66653),40.66653, -73.806274
10475,POINT (-73.82607 40.88415),40.88415, -73.82607
11223-6346,POINT (-73.98407 40.583626),40.583626, -73.98407
10457,POINT (-73.89811 40.852306),40.852306, -73.89811
10463,POINT (-73.90436 40.87656),40.87656, -73.90436
11105,POINT (-73.91025 40.76943),40.76943, -73.91025
10461,POINT (-73.82631 40.85638),40.85638, -73.82631
111354,POINT (-73.83431 40.75829),40.75829, -73.83431
11415,POINT (-73.83941 40.709896),40.709896, -73.83941
11232,POINT (-74.00708 40.65477),40.65477, -74.00708
11435,POINT (-73.81662 40.703163),40.703163, -73.81662
10035,POINT (-73.94063 40.78515),40.78515, -73.94063
10457,POINT (-73.90348 40.844604),40.844604, -73.90348
10155,POINT (-73.95819 40.758965),40.758965, -73.95819
10460,POINT (-73.867714 40.8252),40.8252, -73.867714
10032,POINT (-73.949455 40.835808),40.835808, -73.949455
11428,POINT (-73.74654 40.715763),40.715763, -73.74654
10460,POINT (-73.87258 40.840836),40.840836, -73.87258
11371,POINT (-73.87664 40.771305),40.771305, -73.87664
10032,POINT (-73.9494 40.835484),40.835484, -73.9494
10162,POINT (-73.95103 40.76635),40.76635, -73.95103
10155,POINT (-73.96012 40.756367),40.756367, -73.96012
11422:11434,POINT (-73.76994 40.66735),40.66735, -73.76994
10010,POINT (-73.97213 40.743156),40.743156, -73.97213
11367,POINT (-73.81759 40.71582),40.71582, -73.81759
11436,POINT (-73.80205 40.674953),40.674953, -73.80205
10454,POINT (-73.91349 40.804264),40.804264, -73.91349
11415,POINT (-73.83127 40.71444),40.71444, -73.83127
10035,POINT (-73.92988 40.801125),40.801125, -73.92988
11249,POINT (-73.953094 40.713974),40.713974, -73.953094
10452,POINT (-73.927284 40.843903),40.843903, -73.927284
10014,POINT (-74.00792 40.723698),40.723698, -74.00792
11364:11427,POINT (-73.75806 40.763245),40.763245, -73.75806
11201,POINT (-73.99495 40.700836),40.700836, -73.99495
10472,POINT (-73.862724 40.83302),40.83302, -73.862724
11435,POINT (-73.81393 40.69775),40.69775, -73.81393
10467,POINT (-73.902725 40.844524),40.844524, -73.902725
11362,POINT (-73.73887 40.757355),40.757355, -73.73887
10452,POINT (-73.929474 40.8396),40.8396, -73.929474
11235-2012,POINT (-73.93604 40.586117),40.586117, -73.93604
10451,POINT (-73.91662 40.82499),40.82499, -73.91662
